Day;Hour;Price (Kč/MWh)
16.01.2024;19;3 244,18
16.01.2024;20;2 959,76
16.01.2024;21;2 674,61
16.01.2024;22;2 379,08
16.01.2024;23;2 238,23
16.01.2024;24;2 058,34
17.01.2024;1;1 909,85
17.01.2024;2;1 844,99
17.01.2024;3;1 742,75
17.01.2024;4;1 719,73
17.01.2024;5;1 726,17
17.01.2024;6;1 914,80
17.01.2024;7;2 103,43
17.01.2024;8;2 343,56
17.01.2024;9;2 504,46
17.01.2024;10;2 625,76
17.01.2024;11;2 731,22
17.01.2024;12;2 750,28
17.01.2024;13;2 879,75
17.01.2024;14;2 961,94
17.01.2024;15;2 963,67
17.01.2024;16;3 020,11
17.01.2024;17;3 084,47
17.01.2024;18;3 353,56
17.01.2024;19;3 028,28
17.01.2024;20;2 827,02
17.01.2024;21;2 695,82
17.01.2024;22;2 489,12
17.01.2024;23;2 315,09
17.01.2024;24;2 075,95
18.01.2024;1;1 999,40
18.01.2024;2;1 908,33
18.01.2024;3;1 856,87
18.01.2024;4;1 845,48
18.01.2024;5;1 901,16
18.01.2024;6;2 008,06
18.01.2024;7;2 378,00
18.01.2024;8;2 774,66
18.01.2024;9;3 151,03
18.01.2024;10;3 037,94
18.01.2024;11;2 825,38
18.01.2024;12;2 733,09
18.01.2024;13;2 538,84
18.01.2024;14;2 358,45
18.01.2024;15;2 355,23
18.01.2024;16;2 486,87
18.01.2024;17;2 608,87
18.01.2024;18;2 702,90
18.01.2024;19;2 619,51
18.01.2024;20;2 483,66
18.01.2024;21;2 313,66
18.01.2024;22;2 073,38
18.01.2024;23;2 024,14
18.01.2024;24;1 821,48
19.01.2024;1;1 758,53
19.01.2024;2;1 667,23
19.01.2024;3;1 637,46
19.01.2024;4;1 557,08
19.01.2024;5;1 570,97
19.01.2024;6;1 675,17
19.01.2024;7;1 938,16
19.01.2024;8;2 230,92
19.01.2024;9;2 586,94
19.01.2024;10;2 563,37
19.01.2024;11;2 380,27
19.01.2024;12;2 148,55
19.01.2024;13;1 925,75
19.01.2024;14;1 828,99
19.01.2024;15;1 874,64
19.01.2024;16;2 107,11
19.01.2024;17;2 262,92
19.01.2024;18;2 433,37
19.01.2024;19;2 387,71
19.01.2024;20;2 241,34
19.01.2024;21;2 025,24
19.01.2024;22;1 817,08
19.01.2024;23;1 834,45
19.01.2024;24;1 654,08
20.01.2024;1;1 695,27
20.01.2024;2;1 589,33
20.01.2024;3;1 607,44
20.01.2024;4;1 549,14
20.01.2024;5;1 541,20
20.01.2024;6;1 547,90
20.01.2024;7;1 587,59
20.01.2024;8;1 701,72
20.01.2024;9;1 901,19
20.01.2024;10;1 983,31
20.01.2024;11;1 834,70
20.01.2024;12;1 784,34
20.01.2024;13;1 714,12
20.01.2024;14;1 711,15
20.01.2024;15;1 820,81
20.01.2024;16;1 960,49
20.01.2024;17;2 130,68
20.01.2024;18;2 316,26
20.01.2024;19;2 457,93
20.01.2024;20;2 296,41
20.01.2024;21;2 137,13
20.01.2024;22;1 889,28
20.01.2024;23;1 866,95
20.01.2024;24;1 715,12
21.01.2024;1;1 699,24
21.01.2024;2;1 434,02
21.01.2024;3;1 368,27
21.01.2024;4;1 262,58
21.01.2024;5;1 278,96
21.01.2024;6;1 376,21
21.01.2024;7;1 359,09
21.01.2024;8;1 862,24
21.01.2024;9;1 853,80
21.01.2024;10;1 536,73
21.01.2024;11;1 459,08
21.01.2024;12;1 345,94
21.01.2024;13;1 164,83
21.01.2024;14;1 309,22
21.01.2024;15;1 525,82
21.01.2024;16;1 919,80
21.01.2024;17;2 698,83
21.01.2024;18;2 709,50
21.01.2024;19;2 671,54
21.01.2024;20;2 481,00
21.01.2024;21;2 488,69
21.01.2024;22;1 906,90
21.01.2024;23;1 827,26
21.01.2024;24;1 837,68
22.01.2024;1;1 476,74
22.01.2024;2;1 541,37
22.01.2024;3;1 435,13
22.01.2024;4;1 470,55
22.01.2024;5;1 647,12
22.01.2024;6;1 981,20
22.01.2024;7;2 968,33
22.01.2024;8;3 491,37
22.01.2024;9;2 535,94
22.01.2024;10;2 502,26
22.01.2024;11;2 029,49
22.01.2024;12;1 972,04
22.01.2024;13;1 532,95
22.01.2024;14;2 029,24
22.01.2024;15;2 376,45
