Date,Daily_Average_Price,Hourly_Price
2023-08-15,2036.29,
2023-08-16,2658.13,
2023-08-17,2660.09,
2023-08-18,2606.28,
2023-08-19,2032.57,
2023-08-20,2168.1,
2023-08-21,2909.67,
2023-08-22,2991.75,
2023-08-23,3620.71,
2023-08-24,3533.33,
2023-08-25,2668.34,
2023-08-26,2303.04,
2023-08-27,2381.0,
2023-08-28,2770.51,
2023-08-29,2944.38,
2023-08-30,2806.41,
2023-08-31,2538.12,
2023-09-01,2557.48,
2023-09-02,2285.83,
2023-09-03,1981.26,
2023-09-04,2583.89,
2023-09-05,2492.54,
2023-09-06,2552.35,
2023-09-07,2439.3,
2023-09-08,2629.54,
2023-09-09,2225.62,
2023-09-10,2069.9,
2023-09-11,3595.32,
2023-09-12,3175.15,
2023-09-13,2742.16,
2023-09-14,2935.25,
2023-09-15,2663.87,
2023-09-16,2301.7,
2023-09-17,2122.78,
2023-09-18,2323.8,
2023-09-19,1513.73,
2023-09-20,2009.86,
2023-09-21,2528.11,
2023-09-22,2544.03,
2023-09-23,2453.69,
2023-09-24,1675.36,
2023-09-25,2543.36,
2023-09-26,3074.31,
2023-09-27,2979.31,
2023-09-28,2722.24,
2023-09-29,2572.69,
2023-09-30,2223.27,
2023-10-01,1799.4,
2023-10-02,2892.29,
2023-10-03,1635.08,
2023-10-04,1843.85,
2023-10-05,2535.6,
2023-10-06,2125.67,
2023-10-07,1249.56,
2023-10-08,2174.24,
2023-10-09,2914.97,
2023-10-10,2947.52,
2023-10-11,2040.95,
2023-10-12,3025.09,
2023-10-13,2314.68,
2023-10-14,1206.22,
2023-10-15,1235.92,
2023-10-16,3272.89,
2023-10-17,3312.18,
2023-10-18,2645.51,
2023-10-19,2505.49,
2023-10-20,2319.16,
2023-10-21,1388.85,
2023-10-22,1640.56,
2023-10-23,3143.38,
2023-10-24,2980.41,
2023-10-25,3066.06,
2023-10-26,3023.01,
2023-10-27,2956.8,
2023-10-28,2106.27,
2023-10-29,721.63,
2023-10-30,2330.28,
2023-10-31,2599.89,
2023-11-01,1518.02,
2023-11-02,1567.62,
2023-11-03,1469.32,
2023-11-04,648.81,
2023-11-05,753.34,
2023-11-06,1766.07,
2023-11-07,2484.79,
2023-11-08,2219.99,
2023-11-09,2384.84,
2023-11-10,2361.01,
2023-11-11,2374.28,
2023-11-12,2379.64,
2023-11-13,2453.17,
2023-11-14,1805.63,
2023-11-15,2496.63,
