index,Interval_Start,Interval_End,Consumption_kW,Consumption_kWh,Hour,Time,Date,Adjusted_Consumption_kWh,Day,Price (Kč/MWh),Price_kWh,Month,DayOfWeek,Fixed_Cost (Kč),Cost_Difference (Kč),Savings,Elasticity,Season,Price_for_consumed_kWh
96,2024-01-02 00:00:00,2024-01-02 00:15:00,249,249,1,00:00:00,2024-01-02,62.25,2024-01-02,742.28,0.7422799999999999,1,1,498.0,0,-562.17228,-18.5131566136602,Summer,46.20692999999999
97,2024-01-02 00:15:00,2024-01-02 00:30:00,248,248,1,00:15:00,2024-01-02,62.0,2024-01-02,742.28,0.7422799999999999,1,1,496.0,0,-559.9145599999999,-18.49965405620593,Summer,46.02136
98,2024-01-02 00:30:00,2024-01-02 00:45:00,249,249,1,00:30:00,2024-01-02,62.25,2024-01-02,742.28,0.7422799999999999,1,1,498.0,0,-562.17228,-18.5131566136602,Summer,46.20692999999999
99,2024-01-02 00:45:00,2024-01-02 01:00:00,253,253,1,00:45:00,2024-01-02,63.25,2024-01-02,742.28,0.7422799999999999,1,1,506.0,0,-571.20316,-18.566629952533383,Summer,46.94921
100,2024-01-02 01:00:00,2024-01-02 01:15:00,243,243,2,01:00:00,2024-01-02,60.75,2024-01-02,490.99,0.49099,1,1,486.0,0,-609.68943,-7.722224173101315,Summer,29.8276425
101,2024-01-02 01:15:00,2024-01-02 01:30:00,250,250,2,01:15:00,2024-01-02,62.5,2024-01-02,490.99,0.49099,1,1,500.0,0,-627.2524999999999,-7.762148559696463,Summer,30.686875
102,2024-01-02 01:30:00,2024-01-02 01:45:00,246,246,2,01:30:00,2024-01-02,61.5,2024-01-02,490.99,0.49099,1,1,492.0,0,-617.21646,-7.739473644383595,Summer,30.195885
103,2024-01-02 01:45:00,2024-01-02 02:00:00,252,252,2,01:45:00,2024-01-02,63.0,2024-01-02,490.99,0.49099,1,1,504.0,0,-632.27052,-7.77335032630966,Summer,30.93237
104,2024-01-02 02:00:00,2024-01-02 02:15:00,250,250,3,02:00:00,2024-01-02,62.5,2024-01-02,730.68,0.73068,1,1,500.0,0,-567.33,-17.59661768454042,Summer,45.6675
105,2024-01-02 02:15:00,2024-01-02 02:30:00,245,245,3,02:15:00,2024-01-02,61.25,2024-01-02,730.68,0.73068,1,1,490.0,0,-555.9834,-17.532232674459305,Summer,44.75415
106,2024-01-02 02:30:00,2024-01-02 02:45:00,244,244,3,02:30:00,2024-01-02,61.0,2024-01-02,730.68,0.73068,1,1,488.0,0,-553.71408,-17.51919809758244,Summer,44.57148
107,2024-01-02 02:45:00,2024-01-02 03:00:00,254,254,3,02:45:00,2024-01-02,63.5,2024-01-02,730.68,0.73068,1,1,508.0,0,-576.40728,-17.64720524834493,Summer,46.39818
108,2024-01-02 03:00:00,2024-01-02 03:15:00,251,251,4,03:00:00,2024-01-02,62.75,2024-01-02,432.98,0.43298,1,1,502.0,0,-644.32202,-6.600994244165374,Summer,27.169495
109,2024-01-02 03:15:00,2024-01-02 03:30:00,267,267,4,03:15:00,2024-01-02,66.75,2024-01-02,432.98,0.43298,1,1,534.0,0,-685.3943399999999,-6.6748186331699975,Summer,28.901415000000004
110,2024-01-02 03:30:00,2024-01-02 03:45:00,285,285,4,03:30:00,2024-01-02,71.25,2024-01-02,432.98,0.43298,1,1,570.0,0,-731.6007,-6.752758363013634,Summer,30.849825000000003
111,2024-01-02 03:45:00,2024-01-02 04:00:00,286,286,4,03:45:00,2024-01-02,71.5,2024-01-02,432.98,0.43298,1,1,572.0,0,-734.1677199999999,-6.756942788139071,Summer,30.958070000000003
112,2024-01-02 04:00:00,2024-01-02 04:15:00,296,296,5,04:00:00,2024-01-02,74.0,2024-01-02,260.43,0.26043,1,1,592.0,0,-810.91272,-4.229426138108297,Summer,19.27182
113,2024-01-02 04:15:00,2024-01-02 04:30:00,286,286,5,04:15:00,2024-01-02,71.5,2024-01-02,260.43,0.26043,1,1,572.0,0,-783.51702,-4.20388198559761,Summer,18.620745
114,2024-01-02 04:30:00,2024-01-02 04:45:00,292,292,5,04:30:00,2024-01-02,73.0,2024-01-02,260.43,0.26043,1,1,584.0,0,-799.95444,-4.219313578279236,Summer,19.01139
115,2024-01-02 04:45:00,2024-01-02 05:00:00,282,282,5,04:45:00,2024-01-02,70.5,2024-01-02,260.43,0.26043,1,1,564.0,0,-772.5587400000001,-4.193413338145292,Summer,18.360315
116,2024-01-02 05:00:00,2024-01-02 05:15:00,362,362,6,05:00:00,2024-01-02,90.5,2024-01-02,696.61,0.6966100000000001,1,1,724.0,0,-833.8271799999999,-16.29643816326209,Summer,63.04320500000001
117,2024-01-02 05:15:00,2024-01-02 05:30:00,322,322,6,05:15:00,2024-01-02,80.5,2024-01-02,696.61,0.6966100000000001,1,1,644.0,0,-741.6915799999999,-15.972556861740932,Summer,56.077105
118,2024-01-02 05:30:00,2024-01-02 05:45:00,360,360,6,05:30:00,2024-01-02,90.0,2024-01-02,696.61,0.6966100000000001,1,1,720.0,0,-829.2203999999999,-16.281113883034283,Summer,62.6949
119,2024-01-02 05:45:00,2024-01-02 06:00:00,347,347,6,05:45:00,2024-01-02,86.75,2024-01-02,696.61,0.6966100000000001,1,1,694.0,0,-799.2763299999999,-16.179381535277866,Summer,60.43091750000001
120,2024-01-02 06:00:00,2024-01-02 06:15:00,380,380,7,06:00:00,2024-01-02,95.0,2024-01-02,1163.4,1.1634,1,1,760.0,0,-697.908,39.24875264789944,Summer,110.523
